181-0991-1_LHL_S1_L001	181-0991-3_LHL_S2_L001	SKM_0923-1_RHL_S5_L001	SKM_0923-3_RHL_S6_L001	WT62_0987-3_RHL_S9_L001	WT62_0987-4_RHL_S10_L001	212-4281_E62SKM_RHL_Emb1_S1	212-4281_E62SKM_RHL_Emb4_S2	6132-1_Right_Gastroc_S15	6132-2_Left_Sol_S16	6132-3_Left_Sol_S17	6132-3_Right_Gastroc_S18
ENSSSCG00000022901	3069	3823	5207	4938	6887	5826	6751	6008	10357	10668	9932	10224
ENSSSCG00000022903	395	273	467	636	722	639	817	650	960	1026	1049	1026
ENSSSCG00000022906	401	449	1122	1114	625	551	1968	1553	676	744	666	692
ENSSSCG00000022912	325	387	798	996	1396	1388	1269	1245	1432	2042	1829	1663
ENSSSCG00000022915	1010	811	1053	1094	975	978	1410	1311	1233	1398	1414	1075
ENSSSCG00000022919	501	501	1534	1751	108	264	1739	1469	185	192	152	83
ENSSSCG00000022925	7002	11779	16584	15280	1606	3491	8792	9898	2026	1682	1875	1475
ENSSSCG00000022932	3563	3822	4992	4873	3969	4018	5804	5310	3685	4327	3850	3795
ENSSSCG00000022933	377	369	822	748	625	796	1245	976	975	724	969	750
ENSSSCG00000022935	1	1	1	6	2	5	8	11	40	23	20	31
ENSSSCG00000022940	4147	3703	5768	6209	6050	6041	8505	7386	6980	7976	8295	7039
ENSSSCG00000022942	766	882	2099	2077	1093	1197	2765	2255	2073	1941	1986	2018
ENSSSCG00000022945	1201	1169	2175	2388	341	272	1730	675	108	205	178	117
ENSSSCG00000022947	3163	2880	3636	3585	6068	5543	5091	4677	6301	7258	6534	6276
ENSSSCG00000022948	1	0	6	0	2	2	3	0	7	7	3	11
ENSSSCG00000022951	20	31	122	67	23	23	83	103	283	176	309	205
ENSSSCG00000022952	537	650	1248	1342	1006	1128	2003	1785	1857	1858	1682	1788
ENSSSCG00000022953	24	33	70	87	92	87	275	225	172	158	131	218
ENSSSCG00000022955	4141	4090	5989	6066	5530	5885	7870	7196	9979	9919	9884	9549
ENSSSCG00000022957	272	255	394	305	824	972	1843	1791	1847	1779	2000	1459
ENSSSCG00000022961	1969	2001	5750	6538	1882	2350	10523	9480	2255	2603	2426	2065
ENSSSCG00000022963	89	110	668	658	391	378	476	561	603	603	528	502
ENSSSCG00000022968	35	36	25	10	192	200	45	50	261	349	201	351
ENSSSCG00000022975	43	82	208	208	61	37	114	160	64	108	92	47
ENSSSCG00000022980	176	134	1274	1701	130	20	232	302	245	357	265	197
ENSSSCG00000022982	699	672	1282	1413	1021	1201	2384	1904	2037	1973	1832	1990
ENSSSCG00000022986	273	273	929	879	161	419	1463	1298	265	187	213	206
ENSSSCG00000022987	322	192	2172	2055	26	18	1214	1619	38	53	61	32
ENSSSCG00000022988	9	59	181	141	0	1	465	10	2	0	0	0
ENSSSCG00000022989	176	228	409	363	410	452	503	317	564	650	665	543
ENSSSCG00000022993	485	388	1060	1474	481	624	1836	1599	1406	1338	1485	1443
ENSSSCG00000022994	349	347	399	429	422	512	682	506	584	661	570	620
ENSSSCG00000022995	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000022998	494	523	730	752	2144	2111	1056	1154	1430	1828	1644	1455
ENSSSCG00000022999	28	84	129	168	134	94	209	80	238	257	293	189
ENSSSCG00000023001	636	709	1174	1179	909	774	1819	1435	1576	1590	1887	1385
ENSSSCG00000023004	214	226	89	746	623	337	30	20	293	650	597	348
ENSSSCG00000023007	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000023012	0	0	0	0	0	0	1	1	3	0	1	1
ENSSSCG00000023014	171	207	629	551	798	898	1179	2038	2636	1917	2275	2571
ENSSSCG00000023018	0	1	2	2	4	4	10	16	7	12	6	9
ENSSSCG00000023026	1411	1254	509	502	2015	1942	540	456	2408	2114	2504	2106
ENSSSCG00000023027	283	264	630	637	457	538	1292	1061	681	691	702	758
ENSSSCG00000023028	777	783	2017	2478	1445	1468	2564	2706	2813	2858	2963	2801
ENSSSCG00000023029	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000023031	14958	13766	10	5	27721	23931	25	21	9812	12302	8435	9482
ENSSSCG00000023032	5	3	29	32	0	2	119	9	0	1	1	5
ENSSSCG00000023033	134	199	484	417	253	238	845	681	494	491	507	500
ENSSSCG00000023041	53	43	58	64	31	12	70	48	35	50	46	41
ENSSSCG00000023045	379	445	1766	1845	1135	1142	1737	1792	1040	1413	1100	1087
ENSSSCG00000023050	2181	2279	4612	4545	2452	2721	4986	4556	3222	3496	3316	3458
ENSSSCG00000023054	2	2	5	4	6	7	23	21	82	33	55	39
ENSSSCG00000023057	11	44	138	93	77	31	99	21	18	60	30	29
ENSSSCG00000023062	3000	2617	4433	4624	4639	4644	4688	4120	3956	4654	4262	3805
ENSSSCG00000023072	0	0	0	0	0	0	0	0	1	2	0	0
ENSSSCG00000023074	0	0	0	3	0	0	7	0	0	0	0	0
ENSSSCG00000023078	142	145	305	277	222	226	272	257	209	231	202	168
ENSSSCG00000023080	855	867	1995	1977	1570	1699	3154	2996	2846	2705	3208	2556
ENSSSCG00000023082	26	18	130	110	49	70	221	369	266	142	275	255
ENSSSCG00000023084	8	5	36	40	4	13	80	37	34	45	34	33
ENSSSCG00000023090	24	81	145	175	136	204	280	281	296	294	296	275
ENSSSCG00000023091	4044	4494	6610	6048	4407	4279	8636	7758	5489	5652	5818	5260
ENSSSCG00000023097	191	139	650	691	399	454	809	854	538	522	573	482
ENSSSCG00000023105	4890	5524	8116	9321	8915	8362	7155	4263	13881	14962	13523	14174
ENSSSCG00000023110	1364	1728	2491	2127	2289	2034	3302	2563	2215	2971	2247	2495
ENSSSCG00000023112	2154	2066	4291	4258	3132	3672	6620	5877	5706	4901	5236	5411
ENSSSCG00000023118	4513	4601	3807	3695	5795	6397	5805	3981	7658	7984	7986	7889
ENSSSCG00000023121	114	150	383	405	301	267	779	1070	845	699	884	766
ENSSSCG00000023122	7169	7721	11944	11865	8349	8013	14336	11833	8520	9640	9314	9100
ENSSSCG00000023125	421	410	769	864	422	254	168	329	123	105	195	147
ENSSSCG00000023126	2995	3538	6064	6045	4786	4783	8880	7444	14052	12627	12698	12328
ENSSSCG00000023127	22	20	57	49	38	55	30	41	23	21	35	23
ENSSSCG00000023128	949	999	1076	874	456	391	385	358	86	336	265	140
ENSSSCG00000023130	1358	1396	1980	1920	1421	1381	3069	2558	1366	1600	1274	1338
ENSSSCG00000023132	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000023133	316	248	274	338	551	459	208	200	728	903	810	750
ENSSSCG00000023139	537	656	658	604	652	517	822	695	608	703	638	709
ENSSSCG00000023140	846	997	1534	1454	1353	1267	2123	1841	1598	1734	1670	1796
ENSSSCG00000023141	112	191	135	98	155	143	188	106	177	206	199	187
ENSSSCG00000023142	140	138	543	512	306	239	770	737	353	425	323	359
ENSSSCG00000023146	0	1	2	5	2	0	0	0	1	0	0	0
ENSSSCG00000023151	15	8	13	8	34	46	91	60	110	41	45	99
ENSSSCG00000023155	238	316	796	754	412	375	748	709	366	483	372	434
ENSSSCG00000023156	31	36	104	109	30	33	133	88	27	42	21	15
ENSSSCG00000023158	1105	1246	1620	1738	1626	1625	3270	2796	2590	2846	2444	2947
ENSSSCG00000023160	26	39	171	197	61	62	259	244	157	143	101	158
ENSSSCG00000023162	388	788	2327	1609	7	6	2378	36	49	51	59	30
ENSSSCG00000023165	377	413	972	1119	859	1111	1896	2125	1259	1004	1227	1250
ENSSSCG00000023166	50	83	230	188	281	289	240	290	488	499	450	531
ENSSSCG00000023169	127	75	538	670	15	56	574	418	47	171	103	57
ENSSSCG00000023171	324	308	758	782	997	1084	1260	1347	1330	1378	1359	1429
ENSSSCG00000023172	224	357	574	552	359	389	437	397	366	503	359	412
ENSSSCG00000023173	258	313	806	697	512	578	673	684	405	518	355	402
ENSSSCG00000023174	258	285	493	660	272	290	555	521	815	774	735	934
ENSSSCG00000023176	107	208	324	363	250	198	584	524	390	426	398	392
ENSSSCG00000023177	389	539	910	752	621	561	1013	877	641	703	670	638
ENSSSCG00000023178	8	9	10	11	16	24	54	48	16	41	33	25
ENSSSCG00000023181	276	344	107	333	486	894	28	2	151	322	550	187
ENSSSCG00000023186	17	13	20	42	90	203	91	115	747	589	613	644
ENSSSCG00000023191	540	486	1415	1238	1064	895	1415	1300	852	1104	1040	921
ENSSSCG00000023195	299	299	599	617	275	315	826	661	660	610	617	617
ENSSSCG00000023196	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000023204	329	398	1798	1545	1301	1363	1369	1551	1300	1638	1378	1365
ENSSSCG00000023215	258	269	352	372	214	216	443	342	144	243	217	183
ENSSSCG00000023225	15	10	62	55	9	1	203	184	17	6	18	10
ENSSSCG00000023228	586	575	2339	2237	1184	1275	1996	1956	754	1042	885	888
ENSSSCG00000023229	2165	2126	729	995	4825	3864	1287	618	2579	3166	3573	2714
ENSSSCG00000023231	1062	1329	2033	1964	1871	1583	2723	2312	2248	2334	2275	2136
ENSSSCG00000023235	353	335	782	847	595	576	1011	1017	692	1113	1130	860
ENSSSCG00000023243	850	896	1741	1832	1815	1920	2953	2376	3082	3055	3554	2820
ENSSSCG00000023245	15837	17045	22030	20321	15369	13383	28330	22415	14176	15763	15307	14288
ENSSSCG00000023247	1289	1606	1485	1528	1460	1629	3508	3277	1852	2587	2304	2036
ENSSSCG00000023254	0	0	1	1	0	1	0	0	2	2	3	5
ENSSSCG00000023255	519	600	2084	1923	1070	915	1852	1795	745	1157	925	980
ENSSSCG00000023258	4	0	0	0	0	0	4	0	0	1	0	0
ENSSSCG00000023261	25	10	48	245	15	24	71	74	12	9	8	18
ENSSSCG00000023263	1445	1781	1913	1681	1771	1736	2593	1978	1761	2004	1532	1867
ENSSSCG00000023264	3357	3173	5335	5391	2475	2392	8743	7101	2897	2717	2632	2715
ENSSSCG00000023266	1332	1603	2544	2540	3166	2981	3486	3039	6518	5887	6516	6119
ENSSSCG00000023267	10	15	61	50	91	61	130	99	555	430	400	560
ENSSSCG00000023269	1234	1253	2430	2330	1872	1935	4346	3635	3665	3784	3965	3925
ENSSSCG00000023272	4318	5245	6978	6528	8480	8311	8687	6909	8201	9796	8418	9164
ENSSSCG00000023273	89	154	383	280	34	41	341	149	76	73	60	68
ENSSSCG00000023276	868	945	1636	1964	1416	1825	2812	2221	3116	3078	2831	2886
ENSSSCG00000023279	21	26	192	139	51	60	273	506	292	228	282	253
ENSSSCG00000023280	10	9	23	14	10	3	81	3	3	4	3	13
ENSSSCG00000023289	3	10	69	50	0	1	47	50	0	1	0	0
ENSSSCG00000023294	269	352	849	903	652	698	1850	1615	1292	1124	991	1240
ENSSSCG00000023296	1119	1293	2062	2212	1151	1199	4436	3317	1718	1894	1569	1973
ENSSSCG00000023297	73	66	136	130	313	380	214	190	872	684	675	885
ENSSSCG00000023298	192	273	292	272	312	207	313	203	87	154	151	100
ENSSSCG00000023301	27	38	53	60	30	52	130	127	168	114	165	162
ENSSSCG00000023303	227	367	703	779	353	312	809	635	373	442	365	403
ENSSSCG00000023304	8053	8578	15622	14286	12732	18750	28088	26590	47598	40085	52271	39136
ENSSSCG00000023306	1181	1237	3420	3462	1798	1695	3925	3525	3371	2979	3540	3087
ENSSSCG00000023307	1356	1431	2656	2505	2291	1989	3004	2637	3457	3410	3818	3326
ENSSSCG00000023312	392	437	749	663	504	430	1174	1042	874	844	803	914
ENSSSCG00000023315	414	420	790	785	486	520	1168	1119	507	533	502	519
ENSSSCG00000023318	2327	2333	2752	2744	2518	2290	3777	2877	2848	2948	3212	2685
ENSSSCG00000023320	15	8	30	15	1	3	99	27	34	23	22	20
ENSSSCG00000023322	1606	240	575	23958	23	33	161	143	58	83	101	63
ENSSSCG00000023324	1447	1469	3706	3390	2194	2959	4454	3700	5246	4039	5206	3967
ENSSSCG00000023325	241	264	348	312	350	460	811	707	1418	1310	1077	1444
ENSSSCG00000023326	2211	2480	6142	6515	5384	5195	10059	8803	8519	8704	7561	8992
ENSSSCG00000023328	155	54	433	523	31	25	1083	1773	198	360	318	256
ENSSSCG00000023329	2	14	113	75	13	9	87	99	151	125	154	106
ENSSSCG00000023331	2817	3411	4101	3727	2971	2722	5254	4030	2553	3042	2477	2888
ENSSSCG00000023333	20	20	163	133	109	101	2656	7545	452	414	389	429
ENSSSCG00000023334	301	271	471	438	466	573	998	863	1110	978	1035	1083
ENSSSCG00000023338	23	12	0	4	11	10	14	9	40	26	46	39
ENSSSCG00000023349	780	958	2334	2134	1909	1788	1981	1923	1689	1889	1684	1787
ENSSSCG00000023351	734	1096	2896	2537	337	540	1913	1491	508	623	633	466
ENSSSCG00000023352	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000023354	550	695	1085	1080	692	693	1393	1224	1093	911	952	821
ENSSSCG00000023357	636	601	1917	2039	1681	2439	3400	3394	4104	4474	4365	4242
ENSSSCG00000023362	68	96	323	258	205	207	369	506	459	416	328	467
ENSSSCG00000023366	220	228	930	939	275	263	2019	1682	491	396	419	456
ENSSSCG00000023371	2479	2239	9438	8179	5798	6187	10397	11481	6950	7718	7573	7636
ENSSSCG00000023374	203	122	414	348	241	314	1046	1232	410	433	406	480
ENSSSCG00000023376	379	501	1313	1067	446	383	1554	1416	407	546	555	407
ENSSSCG00000023377	1870	2125	4622	5138	3307	3499	4349	3852	3531	4572	3785	3937
ENSSSCG00000023378	289	167	844	762	458	462	633	530	394	568	430	452
ENSSSCG00000023379	508	735	925	969	903	801	1223	1294	908	1249	1112	1087
ENSSSCG00000023380	2220	2490	2787	2622	4088	3194	4370	4270	4588	5600	5127	5086
ENSSSCG00000023391	1623	1587	2420	2130	1848	1777	2929	2657	2368	2512	2542	2217
ENSSSCG00000023393	3	8	9	2	16	21	11	2	7	4	3	10
ENSSSCG00000023395	0	0	0	0	0	0	0	1	4	1	1	5
ENSSSCG00000023396	150	211	541	530	67	54	673	325	228	470	502	218
ENSSSCG00000023400	245	221	928	825	819	710	805	956	828	964	898	854
ENSSSCG00000023408	3302	2513	7808	7800	5709	7283	7217	6500	9057	8962	8064	7470
ENSSSCG00000023409	1219	1294	2812	2931	2145	3214	7425	6939	8200	8031	7818	8469
ENSSSCG00000023415	0	0	3	1	0	1	2	1	10	7	6	5
ENSSSCG00000023419	602	588	2022	2151	1192	1413	3641	3181	3310	2855	3276	2707
ENSSSCG00000023423	280	322	781	642	1139	853	484	531	742	1084	782	915
ENSSSCG00000023426	2	0	1	0	5	6	8	21	49	61	44	43
ENSSSCG00000023434	559	508	898	1220	516	671	1164	1194	2686	2549	2864	2415
ENSSSCG00000023437	455	513	552	600	827	1148	1461	1392	3303	3201	3497	2993
ENSSSCG00000023441	7	30	93	52	2	0	34	32	10	16	25	27
ENSSSCG00000023445	368	414	943	831	751	775	1533	1241	1800	1486	1830	1672
ENSSSCG00000023451	267	189	326	294	112	200	581	196	93	102	145	91
ENSSSCG00000023460	9	10	22	6	4	5	68	13	12	10	19	18
ENSSSCG00000023462	6	0	71	91	0	0	4	1	0	1	6	1
ENSSSCG00000023467	10	22	100	42	0	0	70	3	5	4	0	3
ENSSSCG00000023472	3	0	3	0	1	1	9	5	13	19	21	4
ENSSSCG00000023478	495	514	1475	1361	750	595	1646	1534	596	747	801	699
ENSSSCG00000023479	157	160	469	588	350	665	2886	2192	412	501	541	387
ENSSSCG00000023482	982	1077	1571	1531	1332	1376	2189	1929	1929	2000	1902	1944
ENSSSCG00000023483	272	280	1005	1068	946	1074	1537	1617	1381	1678	1528	1461
ENSSSCG00000023487	0	0	4	1	0	0	9	1	1	1	0	0
ENSSSCG00000023495	1060	1178	1995	1887	1601	1545	3123	2671	2062	2163	1914	2211
ENSSSCG00000023498	1376	1391	2556	2928	7584	9660	7020	5539	19551	21457	23144	20286
ENSSSCG00000023500	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000023503	404	501	1020	1109	409	442	2338	1738	634	851	996	638
ENSSSCG00000023514	0	0	0	1	1	3	11	11	33	10	16	22
ENSSSCG00000023516	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000023520	908	914	2778	2553	1101	1371	2724	3685	1307	1439	1618	1212
ENSSSCG00000023522	248	350	361	452	1444	2384	934	1576	2143	2156	2236	2113
ENSSSCG00000023525	906	707	3563	4112	1346	2413	7777	8408	1515	2005	1845	1413
ENSSSCG00000023526	104	134	698	708	405	453	936	1337	944	807	909	937
ENSSSCG00000023527	54	70	227	169	131	94	505	509	203	225	272	190
ENSSSCG00000023531	43	36	39	48	26	21	84	61	12	38	54	34
ENSSSCG00000023533	239	294	927	961	712	790	1787	1694	1507	1360	1570	1297
ENSSSCG00000023537	1	5	22	19	0	1	24	1	1	0	0	0
ENSSSCG00000023539	621	869	1032	1090	1330	1302	1433	1110	1937	2198	2289	1769
ENSSSCG00000023540	25	50	124	100	80	87	117	106	74	87	53	58
ENSSSCG00000023546	8	3	24	20	7	15	49	30	59	54	70	63
ENSSSCG00000023548	329	441	630	743	476	507	840	572	715	700	723	692
ENSSSCG00000023550	21	36	44	10	1	1	149	5	2	2	1	4
ENSSSCG00000023556	2556	2576	4295	4144	3772	3640	5385	4865	4497	4656	5053	4293
ENSSSCG00000023557	22	14	39	36	105	52	116	126	24	35	32	57
ENSSSCG00000023562	2238	2695	2451	2489	2087	1925	5133	3620	2338	2905	2339	2730
ENSSSCG00000023565	293	354	823	872	708	763	1473	1228	1436	1411	1520	1495
ENSSSCG00000023569	357	339	1116	1014	844	742	794	839	631	714	726	688
ENSSSCG00000023571	0	5	5	4	0	1	21	13	5	0	6	7
ENSSSCG00000023582	0	0	0	2	0	1	2	3	3	7	4	0
ENSSSCG00000023584	3	2	18	9	12	6	48	39	17	10	7	9
ENSSSCG00000023585	1022	1286	2548	2172	1693	1211	922	696	1358	1638	1582	1509
ENSSSCG00000023592	4	0	36	46	0	1	11	8	0	1	0	0
ENSSSCG00000023593	323	450	1768	1636	590	627	2754	2815	1912	1232	1637	1728
ENSSSCG00000023595	436	535	1128	945	947	1158	2144	1821	2002	1562	1378	1700
ENSSSCG00000023596	42	91	155	156	116	168	502	490	597	471	539	559
ENSSSCG00000023599	980	1286	1272	1130	1611	1620	2319	1808	1996	2261	1922	2177
ENSSSCG00000023603	221	275	607	551	1149	1133	404	341	549	789	548	684
ENSSSCG00000023604	1357	1483	1755	1744	2518	2503	3436	2915	3127	3211	2907	3126
ENSSSCG00000023607	2	1	5	5	5	2	73	1	0	1	0	1
ENSSSCG00000023611	1047	1136	507	513	4584	8454	7347	5545	20136	18371	25211	14503
ENSSSCG00000023612	2	4	12	6	11	11	67	47	24	18	17	20
ENSSSCG00000023618	0	4	12	41	4	13	10	19	42	42	69	29
ENSSSCG00000023619	118	170	577	528	301	269	894	1050	654	674	753	666
ENSSSCG00000023624	0	1	0	0	2	3	0	0	0	0	0	0
ENSSSCG00000023627	612	957	2044	1942	784	894	2003	2163	832	983	961	891
ENSSSCG00000023630	1940	1146	3054	4618	304	419	3500	3459	391	595	621	378
ENSSSCG00000023636	368	454	1089	959	828	739	1283	1294	788	1060	906	1000
ENSSSCG00000023639	702	733	1448	1352	1019	804	1283	1215	697	899	944	848
ENSSSCG00000023643	2981	3054	4275	4182	6085	6006	6341	5649	12218	9230	10239	10591
ENSSSCG00000023647	0	0	0	0	0	0	1	4	0	1	0	3
ENSSSCG00000023653	685	683	3977	4843	2447	1921	3504	3669	2097	2979	2647	2528
ENSSSCG00000023654	1	2	2	2	6	3	15	1	10	12	8	8
ENSSSCG00000023658	137	149	276	264	222	197	463	417	272	285	242	245
ENSSSCG00000023660	3683	3539	5156	5070	5591	5131	7175	5849	6718	7361	8322	6183
ENSSSCG00000023661	13	11	119	166	14	3	119	25	12	7	11	25
ENSSSCG00000023662	777	803	2564	2805	2690	2610	3913	4176	3386	3092	3400	3378
ENSSSCG00000023665	308	334	692	653	601	620	1040	960	886	912	990	827
ENSSSCG00000023666	11837	12747	19653	19143	13246	12920	39000	27662	11256	12994	12764	11642
ENSSSCG00000023667	1244	1324	2826	2858	3053	2691	4055	3803	3447	3805	3644	3547
ENSSSCG00000023672	33	20	3	3	401	173	24	19	256	437	411	363
ENSSSCG00000023674	8443	8211	17483	17512	11426	13924	25863	23206	26612	22748	26618	22072
ENSSSCG00000023677	786	828	2273	2043	1724	1554	1816	1844	1116	1719	1151	1329
ENSSSCG00000023679	0	0	0	0	0	0	0	0	0	0	6	0
ENSSSCG00000023680	1448	1668	3749	3564	2526	2242	4047	3780	2373	2800	2682	2532
ENSSSCG00000023681	27	40	207	175	72	94	102	55	99	114	85	87
ENSSSCG00000023686	3	4	5	0	1	0	2	7	4	52	20	19
ENSSSCG00000023691	1	1	0	0	0	0	0	2	3	2	1	0
ENSSSCG00000023693	7	3	11	7	7	1	12	14	9	11	6	4
ENSSSCG00000023700	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000023706	2	0	5	1	2	1	12	5	8	9	10	10
ENSSSCG00000023709	311	370	1480	1284	482	563	1977	1721	1077	1135	1224	946
ENSSSCG00000023710	1985	2054	442	630	4713	4811	1495	1737	6971	9310	10300	7108
ENSSSCG00000023714	481	581	158	124	1978	1932	211	184	2398	3066	2416	2796
ENSSSCG00000023715	4334	4085	7352	7677	4567	4522	11072	9503	5619	6297	6373	5680
ENSSSCG00000023716	971	873	981	879	1087	1984	2294	1532	1010	1205	998	1124
ENSSSCG00000023719	279	386	612	689	318	382	1181	926	431	463	444	483
ENSSSCG00000023724	429	458	1173	1328	983	1219	2424	2088	2068	2001	1847	2134
ENSSSCG00000023727	974	1036	1549	1739	1284	1260	3433	3062	2152	2067	2014	2101
ENSSSCG00000023728	216	216	133	147	919	864	204	174	558	933	840	588
ENSSSCG00000023732	2	2	27	8	0	0	9	0	0	1	0	0
ENSSSCG00000023737	0	0	0	0	0	0	1	0	4	1	3	1
ENSSSCG00000023738	486	540	1115	1163	1316	1543	2840	2509	3181	2761	3071	2686
ENSSSCG00000023743	43	66	149	113	15	59	188	34	16	32	31	24
ENSSSCG00000023745	4	0	20	6	0	0	16	11	0	0	0	0
ENSSSCG00000023746	64	72	801	1030	20	99	1105	2163	35	99	70	48
ENSSSCG00000023747	373	375	897	884	833	719	848	919	894	1054	977	965
ENSSSCG00000023749	2	9	14	8	5	12	27	27	47	32	39	33
ENSSSCG00000023757	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000023759	374	494	1529	1335	1276	1030	1430	1566	1278	1559	1288	1363
ENSSSCG00000023760	1024	1054	3112	2499	2758	2231	3036	4565	3978	4098	4066	4264
ENSSSCG00000023761	6193	6445	11040	11693	7768	8044	14443	11711	11261	11042	10986	10961
ENSSSCG00000023762	64	53	320	298	103	86	198	223	79	147	119	83
ENSSSCG00000023771	59	47	89	103	149	205	191	183	190	326	252	180
ENSSSCG00000023775	148	162	383	412	297	297	743	641	610	545	513	558
ENSSSCG00000023776	246	284	522	424	345	584	765	606	919	918	940	1002
ENSSSCG00000023783	313	407	525	531	539	542	926	725	628	727	698	669
ENSSSCG00000023784	4763	4015	9315	13818	5776	9567	11758	10235	12023	11466	13210	10711
ENSSSCG00000023785	4	5	25	26	19	22	124	122	29	58	33	38
ENSSSCG00000023788	45	46	129	165	45	71	226	214	163	114	177	140
ENSSSCG00000023790	6	2	1	2	49	33	0	0	20	30	26	15
ENSSSCG00000023791	42	35	46	101	26	16	98	89	22	26	29	16
ENSSSCG00000023792	2001	2055	3586	3518	3254	3573	4223	4313	9148	8706	8305	8563
ENSSSCG00000023793	125	145	324	324	213	225	448	409	358	369	302	338
ENSSSCG00000023796	399	472	926	930	782	770	1176	1215	1141	1184	1050	1062
ENSSSCG00000023801	882	1029	2148	1787	1464	1291	2453	2312	1921	1969	1955	1981
ENSSSCG00000023803	1545	1537	5253	5368	2421	2238	5362	6109	3188	3279	3668	3301
ENSSSCG00000023806	7307	7650	2781	2544	10763	8493	719	503	4992	9120	7552	5418
ENSSSCG00000023807	1600	1454	1876	1859	1486	1652	3360	2803	2246	2053	2421	2070
ENSSSCG00000023814	155	153	312	322	236	176	467	376	382	483	392	440
ENSSSCG00000023818	1287	1443	1815	1702	1594	1439	2022	1680	1962	1686	1802	1852
ENSSSCG00000023819	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000023820	671	913	2690	2420	1469	1240	2596	2234	1149	1387	1408	1231
ENSSSCG00000023821	0	0	0	0	0	0	0	0	0	1	0	0
ENSSSCG00000023829	522	584	818	929	1139	1145	2160	1732	2521	2276	2114	2431
ENSSSCG00000023834	54	81	55	31	49	51	97	58	83	71	77	67
ENSSSCG00000023837	560	728	3046	2592	240	193	2040	1121	265	379	322	257
ENSSSCG00000023842	4	1	21	12	6	4	19	35	4	14	10	2
ENSSSCG00000023848	5	11	22	33	15	28	172	125	23	12	12	18
ENSSSCG00000023849	0	0	1	0	3	2	11	3	10	10	10	19
ENSSSCG00000023850	133	132	166	133	168	166	271	232	258	296	253	269
ENSSSCG00000023852	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000023857	2005	1990	6958	7124	3486	4235	8996	9234	7554	8181	8386	7953
ENSSSCG00000023859	9	10	72	115	7	9	33	26	16	34	22	16
ENSSSCG00000023862	257	293	595	652	311	320	897	724	437	444	503	426
ENSSSCG00000023865	58	61	134	120	83	94	205	189	223	186	196	210
ENSSSCG00000023866	164	170	451	470	480	466	501	513	474	685	550	554
ENSSSCG00000023868	55	29	167	251	64	90	923	787	271	273	257	281
ENSSSCG00000023871	150	192	566	428	178	231	700	651	344	323	317	354
ENSSSCG00000023873	3159	3368	4471	4629	5065	6767	5158	4448	7018	6604	6981	6804
ENSSSCG00000023880	642	737	914	842	938	952	787	627	1111	1182	1203	1099
ENSSSCG00000023886	860	1021	1144	1141	791	770	2366	1778	982	1069	919	1146
ENSSSCG00000023887	38	25	0	0	10	5	2	0	16	3	11	1
ENSSSCG00000023890	443	443	1468	1312	744	913	1385	1574	1416	1455	1377	1404
ENSSSCG00000023891	105	40	351	454	161	125	119	124	78	68	52	80
ENSSSCG00000023894	188	261	1218	1052	211	177	958	870	246	278	229	253
ENSSSCG00000023903	1580	1743	1577	1501	2305	1873	3044	2383	3484	3507	2759	3881
ENSSSCG00000023904	14	12	22	11	6	6	8	9	5	4	8	5
ENSSSCG00000023907	919	1003	2339	2416	1715	1778	3334	3002	1875	2125	2247	1906
ENSSSCG00000023908	242	379	929	861	657	756	1309	951	1015	1145	978	1209
ENSSSCG00000023909	15	29	60	65	101	108	146	202	606	573	556	724
ENSSSCG00000023912	684	886	4058	3583	799	633	3697	3588	687	978	926	889
ENSSSCG00000023915	27	18	10	17	64	117	42	52	1571	794	1004	1298
ENSSSCG00000023918	0	0	2	0	0	0	1	2	1	3	4	1
ENSSSCG00000023920	2555	2114	6294	7807	3520	3987	10118	9646	4870	5464	5148	4679
ENSSSCG00000023921	0	7	18	22	1	0	16	6	6	3	2	9
ENSSSCG00000023924	58	20	390	315	45	78	188	489	204	253	299	321
ENSSSCG00000023929	95	115	290	274	136	222	743	682	678	526	578	532
ENSSSCG00000023933	25	24	81	76	39	20	119	63	41	35	51	43
ENSSSCG00000023934	24	34	221	184	92	135	233	68	40	45	37	39
ENSSSCG00000023935	589	733	1349	1400	812	918	2596	2542	1467	1341	1330	1371
ENSSSCG00000023936	17	12	36	39	24	23	118	105	220	183	219	236
ENSSSCG00000023941	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000023948	1702	1655	4152	4148	2340	2517	5850	5088	2569	2919	2803	2718
ENSSSCG00000023955	250	314	400	440	263	293	674	563	431	405	440	462
ENSSSCG00000023956	501	434	1499	2337	431	589	1799	1103	1081	961	1076	1147
