181-0991-1_LHL_S1_L001	181-0991-3_LHL_S2_L001	SKM_0923-1_RHL_S5_L001	SKM_0923-3_RHL_S6_L001	WT62_0987-3_RHL_S9_L001	WT62_0987-4_RHL_S10_L001	212-4281_E62SKM_RHL_Emb1_S1	212-4281_E62SKM_RHL_Emb4_S2	6132-1_Right_Gastroc_S15	6132-2_Left_Sol_S16	6132-3_Left_Sol_S17	6132-3_Right_Gastroc_S18
ENSSSCG00000000199	922	848	1498	1649	936	865	2360	2066	1154	1205	1462	1165
ENSSSCG00000000202	829	1061	1861	1758	2003	1670	2760	2460	1475	1933	1802	1666
ENSSSCG00000000203	3	4	69	67	1	3	85	44	9	9	10	4
ENSSSCG00000000204	313	458	822	894	722	806	2130	2108	1894	1772	2015	1901
ENSSSCG00000000205	104	157	196	153	184	178	265	272	250	373	361	293
ENSSSCG00000000206	24	12	174	222	1	0	45	27	22	38	48	35
ENSSSCG00000000207	0	3	3	14	8	11	13	20	4	13	10	10
ENSSSCG00000000209	515	561	1238	1163	1563	1600	1212	1181	2090	2206	2037	2055
ENSSSCG00000000211	0	1	9	24	5	11	14	2	11	21	9	14
ENSSSCG00000000212	0	0	7	0	1	0	11	1	2	0	0	3
ENSSSCG00000000214	229	268	74	70	1431	1008	222	215	4679	4536	4027	4823
ENSSSCG00000000215	1183	1349	2896	2752	1703	1660	3418	3131	2477	2549	2979	2637
ENSSSCG00000000216	40	50	48	51	45	27	127	62	47	99	103	61
ENSSSCG00000000217	2462	2347	3080	3389	2099	1796	4894	3737	2492	2176	2231	2059
ENSSSCG00000000220	143	200	437	479	401	396	499	505	520	518	707	583
ENSSSCG00000000223	130	82	360	345	137	179	1037	841	224	244	242	195
ENSSSCG00000000228	30	57	148	144	24	36	368	308	130	102	129	72
ENSSSCG00000000231	0	0	0	0	1	0	1	0	0	0	0	0
ENSSSCG00000000232	715	642	2971	2844	874	987	4088	5093	1683	1644	1629	1783
ENSSSCG00000000233	496	771	1291	1040	661	580	1058	555	456	906	921	494
ENSSSCG00000000234	189	172	869	665	748	905	1360	1358	522	563	519	511
ENSSSCG00000000235	0	0	0	0	0	0	2	0	0	0	0	0
ENSSSCG00000000236	0	0	3	3	0	0	2	0	0	0	0	0
ENSSSCG00000000238	1	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000000239	0	0	2	0	0	0	0	0	0	0	0	0
ENSSSCG00000000240	0	1	2	3	0	0	17	1	1	0	0	0
ENSSSCG00000000241	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000000247	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000000248	9	20	2	3	0	0	49	0	0	0	0	0
ENSSSCG00000000249	0	8	0	0	0	0	0	0	1	1	0	0
ENSSSCG00000000250	0	10	7	8	0	0	0	0	0	0	0	0
ENSSSCG00000000251	614	216	2657	798	1	17	27405	226	2	3	5	21
ENSSSCG00000000252	1675	3239	7828	4970	25	58	6243	41	7	45	40	22
ENSSSCG00000000253	195	497	497	431	0	1	59	19	6	26	24	12
ENSSSCG00000000257	4	2	32	35	24	21	126	303	25	40	36	21
ENSSSCG00000000258	733	911	5412	5773	713	592	3848	3103	1101	1306	1356	1311
ENSSSCG00000000259	95	169	461	502	202	260	956	959	556	485	567	500
ENSSSCG00000000260	12	27	39	37	40	46	95	98	46	53	56	39
ENSSSCG00000000261	1037	1179	2772	2606	2635	2434	4002	2852	1465	2111	1691	1890
ENSSSCG00000000262	578	609	1350	1391	1170	914	1845	1659	1659	1666	1654	1697
ENSSSCG00000000263	836	850	3991	4688	2291	2825	6200	7863	5947	5164	5692	5948
ENSSSCG00000000264	388	452	1191	1075	583	549	1015	886	590	739	624	614
ENSSSCG00000000265	732	856	1690	1598	759	625	1808	1511	852	855	926	808
ENSSSCG00000000267	1500	2253	2199	2035	1564	1464	4039	3299	1782	2088	1784	1999
ENSSSCG00000000268	758	984	1262	1286	728	593	1385	1198	700	759	821	703
ENSSSCG00000000271	1	1	3	0	3	3	21	37	51	44	61	39
ENSSSCG00000000272	544	684	1685	1559	1020	1230	2920	2537	2655	2223	2494	2405
ENSSSCG00000000273	1101	1296	2709	2525	1384	1283	3850	3710	1097	1413	1225	1223
ENSSSCG00000000274	11194	13116	16720	16231	15778	14926	22214	18593	14624	15666	15056	17037
ENSSSCG00000000275	121	120	656	796	219	271	1164	1433	525	529	608	519
ENSSSCG00000000276	459	733	1399	1318	1012	818	1486	1303	999	1198	1004	1091
